,Name,Address,Tel,Email,Contact Persons,Products
10,23 CONCEPTS,"D-9/2, OKHLA INDUSTRIAL AREA,PHASE-I
NEW DELHI, DELHI",11-41649779,importedcreations@yahoo.co.in,KRISHNA SACHDEV,"HANDICRAFTS,JEWELLERY-COSTUME,"
11,3 D INTERNATIONAL ARTS & GEMS,"1 JAMUNA VIHAR, RAM NAGAR, SWEZ FARM, SODALA
JAIPUR, RAJASTHAN",141-2295852,parag.balodiya05@gmail.com,PARAG BALODIA,"ARTISTIC STONEWARE,SCULPTURES IN METAL AND STONE,SEMI PRECIOUS STONE,STONE FIGURINES,TABLEWARE - STONEWARE,NATURAL STONE PRODUCTS"
12,369 DEGREE,"KHASRA NO. 48, TEHSIL LUNI TANAVADA
JODHPUR, RAJASTHAN",,369degreetcfs@gmail.com,MOHD. IMRAN BELIM,"FURNITURE,HANDICRAFTS,"
13,3A INTERNATIONAL,"BABU ROSHAN BUILDING,BEHIND GOKUL DAS COLLEGE, TAVELA STREET
MORADABAD, UTTAR PRADESH",591-2470415,ahmad.3ainternational@gmail.com,ABDUL REHMAN,"ALUMINIUM WARE,BRASSWARE,IRON CRAFTS,ALUMINIUM WARE,BRASSWARE,IRON CRAFTS,"
14,3A INTERNATIONAL EXPORTS,"SARAI GULZARI MAL,
MORADABAD, UTTAR PRADESH",,info@3ainternationalexports.com,AZMAT ULLAHA KHAN,"ALUMINIUM WARE,BRASSWARE,COPPERWARE,HANDICRAFTS,STAINLESS STEEL ARTICLES ,WOODCRAFTS,DRAFT FLOWER, FABRUCTED METAL,"
15,45 NATURAL HANDICRAFTS,"H-51, LAJPAT NAGAR
MORADABAD, UTTAR PRADESH",,45naturalgroup@gmail.com,RAJEEV MITTAL,"ALUMINIUM WARE,BRASSWARE,HANDICRAFTS,IRON CRAFTS,METALWARE,STAINLESS STEEL ARTICLES ,LEATHER & WOODEN ETC."
16,4M HANDICRAFTS,"1001, RAMGANGA ROAD, LAL BAGH,
MORADABAD, UTTAR PRADESH",,4mhandicrafts@gmail.com,MOHD. AZAM,"ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,LEATHER GOODS,METALWARE,METAL HANDICRAFTS"
17,5-ELEMENTS,"T-180,TIGER LANE, NEAR COUNTRY CLUB
NEW DELHI, DELHI",120-4249939,guptazradhika@hotmail.com,RADHIKA GUPTA,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
18,7 ART CREATIONS,"C/O URFI SIKANDAR, 57/G-4,MAKBARA IST, TIRAHA GOSPAK, NEAR ANGOOR WALI MASJID,
MORADABAD, UTTAR PRADESH",,info@7artcreations.com,IMRAN ALI,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
19,7 CREATIONS INC,"GOVIND NAGAR BLOCK-A, LANE NO.4,
MORADABAD, UTTAR PRADESH",591-2490031,7crein@gmail.com,MUKESH AGARWAL,"BRASSWARE,GLASSWARE,HANDICRAFTS,IRON ARTWARES,STAINLESS STEEL ARTICLES ,WOODCRAFTS,BRASSWARE,GLASSWARE,HANDICRAFTS,IRON ARTWARES,STAINLESS STEEL ARTICLES ,WOODCRAFTS,BRASSWARE,GLASSWARE,HANDICRAFTS,IRON ARTWARES,STAINLESS STEEL ARTICLES ,WOODCRAFTS,"
20,7 SEAS INTERNATIONAL,"121/F-5, FAIZ GANJ ROAD,
MORADABAD, UTTAR PRADESH",591-2470400,info@7seas-intl.com,SHAHEERA AZIZ,"ALUMINIUM WARES,BRASSWARE,GIFTWARE,GLASSWARE,IRON CRAFTS,OTHER INDIAN HANDICAFTS,STAINLESS STEEL ARTICLES ,WOOD CRAFTS,ALUMINIUM WARES,BRASSWARE,GIFTWARE,GLASSWARE,IRON CRAFTS,OTHER INDIAN HANDICAFTS,STAINLESS STEEL ARTICLES ,WOOD CRAFTS,ALUMINIUM WARES,BRASSWARE,GIFTWARE,GLASSWARE,IRON CRAFTS,OTHER INDIAN HANDICAFTS,STAINLESS STEEL ARTICLES ,WOOD CRAFTS,ALUMINIUM WARES,BRASSWARE,GIFTWARE,GLASSWARE,IRON CRAFTS,OTHER INDIAN HANDICAFTS,STAINLESS STEEL ARTICLES ,WOOD CRAFTS,ALUMINIUM WARES,BRASSWARE,GIFTWARE,GLASSWARE,IRON CRAFTS,OTHER INDIAN HANDICAFTS,STAINLESS STEEL ARTICLES ,WOOD CRAFTS,"
21,7 SEAS UNIT-II,"1, ASHA PURNA NAGAR, OPPOSITE D.P.S. SCHOOL, PAL- BYPASS
JODHPUR, RAJASTHAN",291-3258168,jdh7seas@yahoo.com,KANTA DEVI SHARMA,"HANDICRAFTS,"
22,9 HANDS,"16/143, GEETA COLONY,
DELHI, DELHI",11-22527638,akshay.9hands@gmail.com,AKSHAY GUPTA,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDMADE COTTON BAGS & HANDPRINTED BICYCLE BELLS"
23,A & A ACCESSORIES,"B-1, KALINDI COLONY,
NEW DELHI, DELHI","11-26316162,11-26934108","aanda@del3.vsnl.net.in,aanda@airtelmail.in",ASHISH SINGH,"HANDICRAFTS,"
24,A & A CREATIONS,"290, 2ND FLOOR, DOUBLE STOREY, NEW RAJINDER NAGAR,
NEW DELHI, DELHI","11-28745918,11-42411864",aacreations2003@gmail.com,SANGEETA BAHL,"WOODCRAFTS,"
25,A & A EXPORTS,"F-252, ROAD NO.7, MARUDHAR INDL. AREA, PHASE-II, BASNI
JODHPUR, RAJASTHAN",,asloop.aaexports@gmail.com,ASLOOP AHMED,"FURNITURE,HANDICRAFTS,"
26,A & A OVERSEAS,"D-60, IIND FLOOR, SECTOR-7, NOIDA
GAUTAM BUDH NAGAR, UTTAR PRADESH",120-4564302,rai.awadhesh@gmail.com,AWADHESH KUMAR RAI,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
27,A & B CREATION,"YASMIN GARDEN, NEAR SATYAM CINEMA, RAMPUR ROAD,
MORADABAD, UTTAR PRADESH",,abnajam@gmail.com,MEHJABEEN NAJAM,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,"
28,A & D INTERNATIONAL PVT. LTD.,"DTA-004-007, MAHINDRA WORLD CITY, TILWAS AJMER ROAD
JAIPUR, RAJASTHAN",141-2770666,artasiahome@gmail.com,RAVI KANT LADDHA,"FURNITURE-WOODEN,HANDICRAFTS,HOME ACCESSORIES,TEXTILE CRAFTS,FURNITURE-WOODEN,HANDICRAFTS,HOME ACCESSORIES,TEXTILE CRAFTS,FURNITURE-WOODEN,HANDICRAFTS,HOME ACCESSORIES,TEXTILE CRAFTS,FURNITURE-WOODEN,HANDICRAFTS,HOME ACCESSORIES,TEXTILE CRAFTS,FURNITURE-WOODEN,HANDICRAFTS,HOME ACCESSORIES,TEXTILE CRAFTS,RUGS, DURRIES"
29,A & K HALLOWEEN EXPORTS,"3637, 2ND FLOOR, IDGAH ROAD, SINGHARA CHOWK, NABI KARIM,
DELHI, DELHI",,shreevinayaksyntheticspvtltd@gmail.com,MANOJ AHUJA,"HANDICRAFTS,LEATHER ARTICLE, LEATHER WHIPS, HUNTERS"
30,A & L APPARELS PVT. LTD.,"409, RAHEJA PLAZA, 4TH FLOOR, 15-B, SHAH INDL. ESTATE, OPP: YASH RAJ STUDIO, ANDHERI(W)
MUMBAI, MAHARASHTRA","22-267422512,22-26742251",alapparels@gmail.com,ANKIT GANERIWAL,"IMITATION JEWELLERY,IMITATION JEWELLERY,IMITATION JEWELLERY,"
31,A & M HANDICRAFTS (P) LTD.,"16 PANCHSHEEL COLONY,CIVIL LINES
MORADABAD, UTTAR PRADESH",591-2481147,naveen@casafinaindia.com,MR. NAVEEN MEHROTRA,
32,A & R DECOR,"41, GAUR GRACIOUS, KANTH ROAD,
MORADABAD, UTTAR PRADESH",,anrdecor@gmail.com,AMBUJ MAHESHWARI,"ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,STAINLESS STEEL ARTICLES ,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,STAINLESS STEEL ARTICLES ,WOODEN ARTWARES,"
33,A & R EXPORTS,"1108C BASAI DARAPUR,
NEW DELHI, DELHI",11-25109540,aandrexport@yahoo.com,MS. ANJU CHAUHAN,
34,A & S INTERNATIONAL,"HOUSE NO.77, STREET NO. 12/3, SINDHU FARM ROAD, MITTHAPUR EXTN.
NEW DELHI, DELHI",11-22566027,asint21@rediffmail.com,ANIRUDH YADAV,"HANDICRAFTS,"
35,A 2 Z BUYING SERVICES,"516,SPAZE BOULEVARD, SOHNA ROAD, SECTOR-47
GURGAON, HARYANA",11-47567588,amit@a2zbuyingservices.com,PRIYADARSHINI ARORA,"HOME ACCESSORIES,HOME ACCESSORIES,BUYING AGENCY SERVICES"
36,A A A IIMPEX,"NO. 60, SALEEM MAIN ROAD EAST PUGALUR ROAD VENGAMEDU
KARUR, TAMIL NADU","0432-221930,0432-04324",sekar@aaaiimpex.com,S. SURESH,"HANDICRAFTS,"
37,A A BRASS ENTERPRISES,"PRINCE ROAD, GUIYAN BAGH, OPP. ANSAR INTER COLLEGE,
MORADABAD, UTTAR PRADESH",591-2490936,jamalalam39@rediffmail.com,HUMAIRA AHMAD,"ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,STELL, ARTWARE"
38,A A GLOBAL INDIA,"NEAR IMAM BARA, TABAKIYAN STREET
MORADABAD, UTTAR PRADESH",591-2490090,aaglobalindia@gmail.com,ZUHAIB SHAN,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
39,A AND A CREATIONS,"U-62, STREET NO.5, SHAKARPUR
DELHI, DELHI",011-22463032,berryvishal@hotmail.com,VISHAL BERRY,"TEXTILES BASED PRODUCTS,ALL KIND OF HANDICRAFTS ITEMS"
40,A AND A TRADELINKS,"F-211, ROAD NO 9E, V.K.I. AREA,
JAIPUR, RAJASTHAN",141-4042070,aandatradelinks1@gmail.com,ARUN CHANDAK,"CARPET & RUGS,CUSHIONS,HANDICRAFTS,NON TEXTILES & COATED TABLE COVERINGS,"
41,A AND Z EXPORTS,"H. NO-203, BHATTI STREET, NEAR PS KOTHIWAL,
MORADABAD, UTTAR PRADESH",591-2470477,aandzexports@yahoo.com,ZAEEM UR REHMAN,"ALUMINIUM WARES,BRASS ARTWARES,CANDLE STAND,COPPERWARE,FLOWER VASES,HANDICRAFTS,IRON CRAFTS,METALWARE,PLANTERS,TRAYS,BOTTLE, BRASS WARE,STEEL, GLASS,"
42,A B C EXPORTS,"C-1/22, MODEL TOWN,
DELHI, DELHI","11-23914213,11-23931816",abcexportsindia@gmail.com,RAJINDER ARORA,"HANDICRAFTS,"
43,A B CARPET AND DURRIES,"BURHENATH MARG
MIRZAPUR, UTTAR PRADESH",5442-221355,abcdurries@gmail.com,CHANDAN BUDHIA,"CARPET & RUGS,CARPETS & DURRIES,FLAT WOVEN RUGS & RUGS IN NATURAL FIBRE,FLOOR COVERINGS,HAND KNOTTED/ HANDMADE WOOLLEN, SILK & SYNTHETIC CARPETS & RUGS,HAND TUFTED WOOLLEN-PILE CARPETS,HAND WOVEN WOOLLEN, COTTON, CHENILLE DURIES,HAND-WOVEN CARPETS,HANDLOOMED WOOLLEN-PILE/FLAT WEAVE CARPETS,CARPET & RUGS,CARPETS & DURRIES,FLAT WOVEN RUGS & RUGS IN NATURAL FIBRE,FLOOR COVERINGS,HAND KNOTTED/ HANDMADE WOOLLEN, SILK & SYNTHETIC CARPETS & RUGS,HAND TUFTED WOOLLEN-PILE CARPETS,HAND WOVEN WOOLLEN, COTTON, CHENILLE DURIES,HAND-WOVEN CARPETS,HANDLOOMED WOOLLEN-PILE/FLAT WEAVE CARPETS,CARPET & RUGS,CARPETS & DURRIES,FLAT WOVEN RUGS & RUGS IN NATURAL FIBRE,FLOOR COVERINGS,HAND KNOTTED/ HANDMADE WOOLLEN, SILK & SYNTHETIC CARPETS & RUGS,HAND TUFTED WOOLLEN-PILE CARPETS,HAND WOVEN WOOLLEN, COTTON, CHENILLE DURIES,HAND-WOVEN CARPETS,HANDLOOMED WOOLLEN-PILE/FLAT WEAVE CARPETS,"
44,A B GLASS,"A-202, GALI NO.7, KHASRA NO. 1, ETC/241, CHAUHAN BANGAR, SEELAMPUR
DELHI, DELHI",011-45026920,abglass_7@yahoo.com,ABDUL ALIM SIDDIQUI,"GLASS - DECORATIVE,GLASS DECORATIVE,GLASS-DECORATIVE,GLASS - DECORATIVE,GLASS DECORATIVE,GLASS-DECORATIVE,GLASS - DECORATIVE,GLASS DECORATIVE,GLASS-DECORATIVE,"
45,A B I HANDICRAFTS,"LAKRI WALAN MUGHALPURA IST
MORADABAD, UTTAR PRADESH",591-6535055,abi.handicrafts@gmail.com,MOHAMMAD HASNAIN,"HANDICRAFTS,IRON CRAFTS,METALWARE,"
46,A B I IMPEX,"PANDIT NAGLA AMAN COLONY
MORADABAD, UTTAR PRADESH",,asad.abiimpex@gmail.com,ASHAD SUHAIL,"ALUMINIUM WARE,BRASSWARE,COPPERWARE,HANDICRAFTS,IRON CRAFTS,STAINLESS STEEL ARTICLES ,"
47,A D ARTS,"J-123, IST PHASE, RIICO INDUSTRIAL AREA, SANGARIYA,
JODHPUR, RAJASTHAN",,info@adartexports.com,DILIP CHORDIA,"FURNITURE,HANDICRAFTS,IRON CRAFTS,WOODCRAFTS,"
48,A H EXPORTS,"A-3,GALI NO.-4,KHASRA NO-28/7,28/14, NEAR SOM BAZAAR CHOWK, WEST KARWAL NAGAR
DELHI, DELHI",011-22934319,sanjeev_dhara@yahoo.co.in,SHWETA VIJ,"HANDICRAFTS,HANDICRAFTS,"
49,A H HANDICRAFTS,"KATAR SHAHEED, BEHIND KING MEDICAL HALL STREET
MORADABAD, UTTAR PRADESH",,ahexports20@yahoo.com,MOHD. SOBAN,"ALUMINIUM WARE,BRASSWARE,HANDICRAFTS,IRON CRAFTS,ALUMINIUM WARE,BRASSWARE,HANDICRAFTS,IRON CRAFTS,"
50,A H OVERSEAS,"KATGHAR PACHPEDA,KUMHARO WALI GALI
MORADABAD, UTTAR PRADESH",,info@ahoverseas.net,ASIF HABEEB,"ALUMINIUM WARE,BRASSWARE,CANDLE STAND,HANDICRAFTS,IRON CRAFTS,STAINLESS STEEL ARTICLES ,TABLE TOP,"
51,A HOME DECOR,"THATHERA STREET,
MORADABAD, UTTAR PRADESH",0591-3244168,info.ahomedecor@gmail.com,ATUFA AFZAL,"ALUMINIUM WARES,BRASSWARE,GLASSWARE,IRON CRAFTS,"
52,A I HANDICRAFTS,"KARULA,MEENA NAGAR,TOWER WALI GALI
MORADABAD, UTTAR PRADESH",,iqbal@aihandicrafts.com,IQBAL AHMAD,"ALUMINIUM WARE,BRASSWARE,COPPERWARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,STAINLESS STEEL ARTICLES ,"
53,A J CRAFTEX,"C-22-A, MIA BASNI IST PHASE,
JODHPUR, RAJASTHAN",291-2766905,ronak.maheshwari1@gmail.com,RONAK MAHESHWARI,"BAR TABLES,BEDROOM FURNITURE,CHAIRS,DINING TABLE,END TABLES,ALL WOOD AND IRON FURNITURE"
54,A J EXPORTS,"NAU BAHAR, KATH GATE NEAR DIWAN KA BAZAR,
MORADABAD, UTTAR PRADESH",,aatif@ajexports.in,AATIF WALI,"ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,GLASSWARE,HANDICRAFTS,IRON ARTWARES,"
55,A J KISHORE & COMPANY,"1098, PAIWALAN JAMA MASJID, GATE NO. 3,
DELHI, DELHI",11-65462909,"ajkishore2007@yahoo.co.in,mistique_handicraft",VINOD KUMAR AGGARWAL,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
56,A K GLASS INDUSTRIES,"11/3, VIBHAV NAGAR,
FIROZABAD, UTTAR PRADESH",,ak.glassindustries2017@gmail.com,AKASH GUPTA,"CHANDELIER,GLASSWARE,TABLE LAMPS, HANGING LAMPS, GLASS CANDLE HOLDERS, GLASS HANDICRAFTS,"
57,A L PAPER HOUSE LLP,"NEAR TEMPO STAND, SHIKARPURA ROAD, SANGANER,
JAIPUR, RAJASTHAN",0141-2731706,info@alpaperhouse.com,ABUL HASAN,"HANDMADE PAPER & PRODUCTS,HANDICRAFTS"
58,A M ENTERPRISES,"MOHALA PETH ITWAR, NEAR POLICE CHOKI, SARAI TARIN
SAMBHAL, UTTAR PRADESH",,"amenterprises30@yahoo.com,amenterprises31@gma",MOHD. SARFARAZ,"HANDICRAFTS,GIFT & DECORE PRODUCT"
59,A M TRADERS,"28, LAKRI WALAN MUGALPURA FIRST,
MORADABAD, UTTAR PRADESH",,symohdsami3@gmail.com,MOHD. SAMI,"BRASSWARE,CARPETS ,HANDICRAFTS,TEXTILE CRAFTS,SPARE PART,"
60,A N DESIGNS,"BHATTI STREET,
MORADABAD, UTTAR PRADESH",591-2311460,info.andesign@gmail.com,MOHD. USAIB IMRAN,"ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,WOODCRAFTS,ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,WOODCRAFTS,ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,WOODCRAFTS,ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,WOODCRAFTS,ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,WOODCRAFTS,ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,WOODCRAFTS,ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,WOODCRAFTS,"
61,A N S,"1-6,GROUND FLOOR, VARDHAMAN CHAMBERS, KALYAN STREET, MASJID EAST,
MUMBAI, MAHARASHTRA",22-66110000,mail@ans.co.in,ALOK NARENDRA SANGHVI,"HANDICRAFTS,"
62,A N S HANDICRAFTS,"NAWABPURA, NEAR MASJID HAJI NEB
MORADABAD, UTTAR PRADESH",,mail@alinaexports.co.in,MOHD. SHUAIB,"ALUMINIUM ARTWARES,BRASSWARE,COPPERWARE,GLASSWARE,IRON CRAFTS,METALWARE,ALUMINIUM ARTWARES,BRASSWARE,COPPERWARE,GLASSWARE,IRON CRAFTS,METALWARE,ALUMINIUM ARTWARES,BRASSWARE,COPPERWARE,GLASSWARE,IRON CRAFTS,METALWARE,ALUMINIUM ARTWARES,BRASSWARE,COPPERWARE,GLASSWARE,IRON CRAFTS,METALWARE,ALUMINIUM ARTWARES,BRASSWARE,COPPERWARE,GLASSWARE,IRON CRAFTS,METALWARE,ELECTRIC ITEMS"
63,A N STUDIO,"A 118, AMARGIAN IND.COMPLEX,OPP.NEW S.T. STAND, KHOPAT, THANE
THANE WEST, MAHARASHTRA",022-255470744,nimish@anstudio.co.in,NIMISH PAWAR,"BONE FURNITURE,CABINETS,CANDLE LAMPS,CHAIRS,CHANDELIER,COPPER ARTWARES,COPPERWARE,CORPORATE GIFTS,CUTLERY, COOKING TOOLS & ACCESSORIES,DECORATION MATERIAL,DECORATIVE DOOR HANDLES/KNOBS,DECORATIVE OBJECTS,DINING ROOM FURNITURE,DINING TABLE,DISHES,ETHNIC GOODS,FURNITURE,FURNITURE- COLONIAL,FURNITURE- DECORATIVE,FURNITURE- INDUSTRIAL, CONTEMPORARY, OLD TRADITIONAL,FURNITURE- METAL/IRON,FURNITURE- WOODEN,FURNITURE-DECORATIVE,FURNITURE-IRON,FURNITURE-METAL/IRON,GARDEN LIGHTING,HANDICRAFTS ITEMS,HANDLES,HANDLES, KNOBS & LOCKS CURTAIN RODS & ACCESSORIES,INDUSTRIAL FURNITURE,IRON ARTWARES,IRON CRAFTS,LAMPS,LAMPS & LAMP SHADES,LEATHER GOODS,METALWARE,TABLE TOP,TABLES,TABLEWARE,"
64,A O MAX,"3C/435, AVAS VIKAS, BUDDHI VIHAR, DELHI ROAD,
MORADABAD, UTTAR PRADESH",,sales@alpineplus.in,RITUL BHANDULA,"ALUMINIUM WARE,BRASSWARE,COPPERWARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,METALWARE,STAINLESS STEEL ARTICLES ,ALUMINIUM WARE,BRASSWARE,COPPERWARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,METALWARE,STAINLESS STEEL ARTICLES ,ALUMINIUM WARE,BRASSWARE,COPPERWARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,METALWARE,STAINLESS STEEL ARTICLES ,LEATHER & WOODEN"
65,A ONE EXPORT,"SHOP NO-6, SENIOR CITIZEN HOME COMPLEX RESIDENTS WELFARE ASSOCIATIONS GREATER NOIDA,
GAUTAM BUDH NAGAR, UTTAR PRADESH",,pawan376@yahoo.co.in,USHA RANI DHAWAN,"HANDICRAFTS,WOODEN HANDICARFTS AND METAL HANDICRAFTS"
66,A P GIFTS EMPORIUM,"BHATTI STREET
MORADABAD, UTTAR PRADESH",0591-2320593,anasgnps@gmail.com,MOHD. PARVEZ,"BRASSWARE,CANDLE STAND,GLASSWARE,HANDICRAFTS,WOODEN ARTWARES,BRASSWARE,CANDLE STAND,GLASSWARE,HANDICRAFTS,WOODEN ARTWARES,"
67,A PLUS OVERSEAS,"PLOT NO.361 AND 362, SECTOR-29, PART 2, HUDA
PANIPAT, HARYANA",,abhishek@aplusinternational.net,ABHINAV DHAWAN,"BATH MATS,BATH MATS,BATH MATS,CITTON AND POLYSTER, MADE UPS"
68,A Q HOME,"OPPOSITE MASJID MULLA QASIM, LAL MASJID ROAD
MORADABAD, UTTAR PRADESH",591-2483938,aqhome2016@gmail.com,JAWAID ANVER,"METALWARE,METALWARE,METALWARE,"
69,A R ENTERPRISES,"178, GULAB NAGAR, SUNHERA ROAD, ROORKEE
HARIDWAR, UTTARAKHAND",-251283,arenterprises251988@gmail.com,ANAND KUMAR JHA,"NAUTICAL DECOR & INSTRUMENTS,NAUTICAL INSTRUMENTS,"
70,A R HANDICRAFT,"BEHIND MASJID, BUDH BAZAR, PAKBARA,
MORADABAD, UTTAR PRADESH",,arhandicrafts0@gmail.com,SUBHASH CHANDRA SHARMA,"BRASS ARTWARES,CANDLE STAND,FLOWER POTS,GLASSWARE,HANDICRAFTS,IRON CRAFTS,PHOTO FRAMES,TABLES,WOODCRAFTS,"
